iter	Passed	Remaining
842	1919	357
843	1921	355
844	1923	352
845	1925	350
846	1927	348
847	1929	345
848	1931	343
849	1933	341
850	1934	338
851	1936	336
852	1938	334
853	1939	331
854	1941	329
855	1943	326
856	1945	324
857	1947	322
858	1948	319
859	1950	317
860	1952	315
861	1953	312
862	1955	310
863	1957	308
864	1959	305
865	1961	303
866	1963	301
867	1964	298
868	1968	296
869	1970	294
870	1971	292
871	1973	289
872	1975	287
873	1978	285
874	1979	282
875	1981	280
876	1983	278
877	1985	275
878	1987	273
879	1988	271
880	1990	268
881	1992	266
882	1994	264
883	1995	261
884	1997	259
885	1999	257
886	2000	254
887	2002	252
888	2004	250
889	2006	247
890	2008	245
891	2009	243
892	2011	241
893	2012	238
894	2014	236
895	2016	234
896	2017	231
897	2019	229
898	2021	227
899	2022	224
900	2025	222
901	2027	220
902	2028	217
903	2030	215
904	2032	213
905	2034	211
906	2035	208
907	2037	206
908	2039	204
909	2041	201
910	2042	199
911	2044	197
912	2046	194
913	2047	192
914	2049	190
915	2051	188
916	2052	185
917	2054	183
918	2056	181
919	2057	178
920	2059	176
921	2060	174
922	2062	172
923	2064	169
924	2066	167
925	2067	165
926	2069	162
927	2071	160
928	2073	158
929	2074	156
930	2076	153
931	2077	151
932	2079	149
933	2081	147
934	2082	144
935	2084	142
936	2086	140
937	2088	138
938	2090	135
939	2092	133
940	2094	131
941	2095	129
942	2097	126
943	2099	124
944	2100	122
945	2103	120
946	2105	117
947	2107	115
948	2109	113
949	2110	111
950	2112	108
951	2114	106
952	2115	104
953	2117	102
954	2120	99
955	2122	97
956	2124	95
957	2126	93
958	2127	90
959	2129	88
960	2131	86
961	2132	84
962	2135	82
963	2138	79
964	2140	77
965	2141	75
966	2143	73
967	2145	70
968	2146	68
969	2148	66
970	2151	64
971	2153	62
972	2155	59
973	2157	57
974	2159	55
975	2160	53
976	2162	50
977	2164	48
978	2166	46
979	2169	44
980	2170	42
981	2172	39
982	2174	37
983	2176	35
984	2178	33
985	2179	30
986	2198	28
987	2200	26
988	2202	24
989	2203	22
990	2205	20
991	2207	17
992	2209	15
993	2211	13
994	2213	11
995	2215	8
996	2217	6
997	2219	4
998	2221	2
999	2223	0
